"filename", "language", "HTML", "Markdown", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\BotswanaUniversities.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\KenyaQuotes.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\MauritaniaPodcasts.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\SeychellesWriters.html", "HTML", 150, 0, 0, 0, 0, 16, 4, 170
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\aboutUs.html", "HTML", 228, 0, 0, 0, 0, 8, 5, 241
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanBooks.html", "HTML", 161, 0, 0, 0, 0, 8, 1, 170
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanCulture.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanDocumentaries.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanFood.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanHistoricalSites.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanNaturalResources.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanPodcasts.html", "HTML", 74, 0, 0, 0, 0, 8, 2, 84
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanPoets.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanProverbs.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanQuotes.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanUniversities.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
"c:\Users\OlabayoBalogun\Documents\GitHub\AfroTada new website code\africanWriters.html", "HTML", 75, 0, 0, 0, 0, 8, 2, 85
